longitude,latitude
-75.293,5.091
-75.324,4.892
-76.03,2.93
-76.4,2.32
-77.37,1.22
-77.656,-0.077
-78.436,-0.677
-78.442,-1.467
-78.341,-2.005
-71.857,-15.787
-70.903,-16.355
-68.83,-19.15
-67.73,-23.37
-68.507,-25.168
-70.568,-35.223
-71.183,-37.856
-71.729,-38.692
-71.93,-39.42
-72.117,-40.59
-72.618,-41.33
-72.646,-42.833
-91.552,14.757
-90.88,14.473
-90.601,14.382
-89.63,13.853
-88.269,13.434
-87.004,12.702
-86.84,12.606
-86.539,12.423
-86.161,11.984
-85.622,11.538
-85.324,10.83
-84.703,10.463
-84.233,10.2
-83.767,10.025
-121.76,46.853
-121.508,40.492
-121.813,48.777
-121.695,45.374
-122.18,46.2
-122.193,41.409
-121.49,46.206
-121.767,44.133
-121.8,44.674
-103.62,19.514
-93.228,17.36
-98.622,19.023
-152.251,61.299
-152.742,60.485
-153.09,60.032
-153.43,59.363
-153.542,58.855
-155.361,58.172
-153.672,58.77
-156.99,57.135
-159.38,56.17
-161.894,55.417
-163.97,54.756
-168.03,53.93
-168.13,53.43
-169.944,52.825
-174.166,52.381
-175.508,52.177
-177.168,51.923
-178.794,51.79
177.602,52.103
160.642,56.056
160.595,55.972
160.326,55.832
160.32,55.131
159.443,54.049
159.15,53.589
158.712,53.321
158.836,53.256
158.03,52.559
158.196,52.449
161.36,56.653
155.565,50.861
156.875,51.306
156.014,50.686
155.461,50.324
153.48,48.98
154.182,48.873
153.2,48.092
152.475,47.35
148.838,45.389
142.686,43.418
144.013,43.384
141.38,42.688
140.244,37.735
138.523,36.406
137.48,35.893
139.526,34.094
145.8,18.13
145.78,16.708
145.67,16.35
131.104,32.884
130.862,31.934
130.305,30.793
130.217,30.443
129.857,29.859
129.714,29.638
123.685,13.257
124.056,12.769
123.132,10.412
148.42,-5.525
151.33,-5.05
152.203,-4.271
150.027,-5.416
155.196,-6.137
165.804,-10.386
167.5,-14.27
168.12,-16.25
168.346,-16.507
169.447,-19.532
-174.775,-18.992
-175.07,-19.75
-175.382,-20.536
177.18,-37.52
175.632,-39.157
175.57,-39.28
98.392,3.17
100.474,-0.38
100.681,-0.979
101.264,-1.697
105.423,-6.102
107.73,-7.32
109.208,-7.242
110.446,-7.54
112.308,-7.93
112.95,-7.942
114.242,-8.058
114.056,-8.119
114.242,-8.058
115.508,-8.343
116.47,-8.42
119.07,-8.2
121.18,-8.82
121.708,-8.32
123.505,-8.272
123.585,-7.791
124.13,-8.508
127.894,1.693
127.33,0.8
127.53,1.38
125.407,2.781
124.792,1.358
124.737,1.112
-62.18,16.72
-61.664,16.044
-61.18,13.33
14.999,37.748
15.213,38.789
14.962,38.404
25.396,36.404
29.25,-1.52
29.2,-1.408
35.914,-2.764
41.83,15.55
42.18,15.05
40.67,13.6
40.82,12.17
41.7,13.37
55.708,-21.244
-19.633,63.633
-17.316,64.416
-17.516,64.633
-22.083,63.883
-91.17,-0.83
-91.408,-0.92
-91.55,-0.37
-91.35,0.02
-26.374,-58.445
93.858,12.278
-155.287,19.421
145.037,-4.08
167.17,-77.53
-24.35,14.95
43.38,-11.75
